Title,Genre,Rating
Inception,Sci-Fi,8.8
Titanic,Romance,7.9
Avengers Endgame,Action,8.4
The Dark Knight,Action,9.0
Interstellar,Sci-Fi,8.6
Joker,Drama,8.4
The Hangover,Comedy,7.7
Parasite,Thriller,8.6
La La Land,Romance,8.0
3 Idiots,Comedy Drama,8.4
Dangal,Sports Drama,8.3
Frozen,Animation,7.5
Conjuring,Horror,7.5
Doctor Strange,Action Fantasy,7.5
Deadpool,Action Comedy,8.0
